"name","author","source","tags","url","date","data"
"Simple Crafter II","Portevent","factorioblueprints.tech","['State: Early game']","https://factorioblueprints.tech/blueprint/ed63cada-2dfe-41b2-a7be-d88f1f03b12c","11/06/2024","0eJydmF2PojAUhv9Lr2HSTypezt/YmA1q12kCxQBu1hj/+2KcbMy2nTlv71TwobTn6Xnhxvb9xZ0nHxa2vTF/GMPMtj9ubPan0PWP35br2bEt84sbWMVCNzy+dfPshn3vw6keusOHD66W7F4xH47uD9uK+65iLix+8e7J++p/FTuP83rqGB7XW/9e6zdTsev6Qb2ZlXr0kzs8j/NP7vVnuAx7Nz2uVRXj+fd4WY6X39PVC/1XNy/1MnVhPo/TUu9dvyTg4hNOmBldDCeM3BTDxffwphhOWFFbDKfUy6acTpiYtpxOWFPBy/EUU0U5XhPwEsZbukwCV9XSbRK4q5auk8BltXSfBG6rBYQSuK8WMErgwlpEKdxYCyglcWMtoJSMjPVhdtOyHovBTXbcMgZHrn4Blgg40pQw4mgdE9xIUMpMRPWXAEdu5sE8OxFNzI2sJHCj8Sa4rzoO7ugvQ+369fzJH+rz2Lsv8JS4tVkzpvOnj/14mR7RUeuqUTs4hOVrJnHNthxPuCXFi/GUBAkomo/V8TorwNB8nk5wAUGzQTqBhRuoAfZBBTdQA9SfghuoATqQgvunAdqngtunQdSBu6eh5xYN905Dj1wazrqG7ryGk66hB12t4A2+yS6pjvH6vw1ebnZwhuHA7eDZlwMrgWdfDhQRHn05UP948kU6ucaTbz6HJN4/4MmXA7umwZ9V8+ksgcefVTnQr8yrw/24ho2PLhzdkZSyCWnY6HJ+VDoJvIHx2bqPo4Jpiunx3CTwkbSUSSc8KZjIVwKYwm2L54MwHQ0vLxVCJTZA/M3uvIlRS7gJ1vkumHjBqRJdcFc937JvX17KV+y3m+bnzW+Etq20WratakXF+m7dKtaz3/+dfb//BZiWygY="
"Simple Crafter","Portevent","factorioblueprints.tech","['State: Early game']","https://factorioblueprints.tech/blueprint/822a302b-1e4a-4843-ad84-e62a342b2d0a","11/06/2024","0eJylmNGuoyAQQP+FZ9wUBFp9vL+xaTbasr0kikboZpum/74YbzbNjrYz7JtVPIwDZ6DcWdtd7Tg5H1l9Z+40+MDq73cW3MU33Xwv3kbLauai7RlnvunnX00Itm875y9F35w+nbeFZA/OnD/b36wWjyNn1kcXnV14r97jbBxCajr4ub/0elF+05zdlotEPbvJnpbnuy/u7Ye/9q2d5r54Nn73Hi/z8fI9vXyi/2xCLOLU+DAOUyxa28UV+O4LjsiMyoYjItfZcPEebrLhiBHdZ8Mx8+WQT0ckpsqnI8ZU7PLxGFNFPl4h8JKMN3iZBF1Vg7dJ0F01eJ0EXVaD90nQbTUEoQTdV0MwStCFNRSl6MYaglKSbqwhKCXpi6ukRE82VlOCJxurKbGTjdWEaSPJxmrCnJdkYzVlx0QWVuOLjSTrqvF1UpJl1YStHllVjV+dyv8QFZH1kr4LloTMAFGdD3aK6RksX2IzbAnBwNEX4G35V8BAT0zEGDAwExExSPEKFziJCBjDBTpuczf/XBiIBSK+x8LCB7kKOIjggmFb4YKd7TZXbU7gFS5YIBFcTLwE4xR+2NSzb709u2tf2C61n9ypGIfOvsgyogqp1NRbd/lsh+s0Hysow9XhSO6zoKxmqY9/OtXHnKoCZieUSe3Jn7K9kVYQf1j5kiNfTnbqp4Mgzn7ZKSxBHoTaV3KvZFWVleCsa9JalVp//G39ePwBS+74uA=="
